mode	moment	kind	want	got	right	valid	ms	text
prompt	M01	talk	speech	speech	1	1	2767	Morning. You look like you slept in that chair.
prompt	M01	talk	speech	speech	1	1	1574	Was Mickey always in this early, or is it just you?
prompt	M01	talk	speech	speech	1	1	1783	that radio's been hissing all night, has Lena had a look at it
prompt	M01	talk	speech	speech	1	1	1406	Cold enough in here to hang meat.
prompt	M01	verb's words, not the verb	speech	speech	1	1	1270	What sort of cut did Mickey used to give you lot, out of interest?
prompt	M01	oblique verb	set_cut(generous)	set_cut(generous)	1	1	1481	You've carried this place since Mickey went. From Friday your envelope gets fatter.
prompt	M01	oblique verb	leave	speech	0	1	1124	Right, that's me. Hold the fort.
prompt	M01	plain verb	set_cut(fair)	set_cut(fair)	1	1	1561	I'm setting your cut to fair, Rocco, same as the rest of the crew.
prompt	M01	argument	set_cut(skim)	set_cut(skim)	1	1	1621	Office takes a bit extra off the top of yours from now on. Quietly, mind. It won't show on the sheet.
prompt	M01	novel	novel	novel/crew/attention_up	1	1	1666	Give me the keys, I'll do the early airport run myself.
prompt	M02	talk	speech	speech	1	1	2459	Smells like the whole North Sea in here. Busy morning?
prompt	M02	talk	speech	speech	1	1	1438	How long's your family had this pitch, then?
prompt	M02	talk	speech	speech	1	1	1451	You know Rocco? Drives for us at Mickey's.
prompt	M02	talk	speech	speech	1	1	1475	gulls are bold today, one nearly had my hat
prompt	M02	verb's words, not the verb	speech	speech	1	1	1514	Honestly, I've never paid anybody off in my life. Never needed to.
prompt	M02	plain verb	pay_off	pay_off	1	1	2390	I'll give you ninety quid to stop telling people I torched that van.
prompt	M02	oblique verb	lean_on	lean_on	1	1	2424	Lovely steady hands for gutting. You'd want to keep them that way, so the van story stops with you.
prompt	M02	oblique verb	plant_doubt	plant_doubt	1	1	1880	Funny, I heard the van's owner lit it himself for the insurance. Mention that to your customers, eh?
prompt	M02	oblique verb	pay_off	plant_doubt	0	1	1834	Couple of folded notes under your scales there. Let's say you've gone off the subject of that van.
prompt	M02	novel	novel	novel/none/nothing	1	1	1426	Here, give us that crate, I'll carry it out to your van for you.
prompt	M03	talk	speech	speech	1	1	1976	How long did you work for Mickey, all told?
prompt	M03	talk	speech	speech	1	1	1306	Your handwriting's neater than his, I'll give you that.
prompt	M03	talk	speech	speech	1	1	1182	morning lena. kettle's not on then
prompt	M03	talk	speech	speech	1	1	1152	Did Mickey do all this bookkeeping by hand, every night?
prompt	M03	verb's words, not the verb	speech	speech	1	1	1154	Is it true Mickey used to write off debts for anyone with a sob story?
prompt	M03	plain verb	collect_debt	collect_debt	1	1	1540	You owe the book sixty quid, Lena. I need it back today.
prompt	M03	oblique verb	collect_debt	collect_debt	1	1	1887	Sixty against your name in here. I'd like it squared before the weekend, if you can.
prompt	M03	oblique verb	forgive_debt	forgive_debt	1	1	1910	Tear out your page. Mickey would've wanted it, and so do I.
prompt	M03	oblique verb	forgive_debt	forgive_debt	1	1	1910	That sixty you owe? Gone. You've earned it ten times over.
prompt	M03	novel	novel	speech	0	1	1532	Pass me the ledger, I'm locking it in the safe tonight.
prompt	M04	talk	speech	speech	1	1	2478	Is it always this dead on a wet Tuesday?
prompt	M04	talk	speech	speech	1	1	1519	That nearside wiper's going to give up any minute.
prompt	M04	talk	speech	speech	1	1	1285	how long you been driving for Mickey's
prompt	M04	talk	speech	speech	1	1	1186	Rocco reckons you know every back street in the Hook.
prompt	M04	verb's words, not the verb	speech	speech	1	1	1203	Mickey never walked away from a driver in trouble, did he?
prompt	M04	plain verb	collect_debt	collect_debt	1	1	1748	You owe the book forty-five quid. Pay up.
prompt	M04	oblique verb	collect_debt	collect_debt	1	1	1554	Forty-five, wasn't it? I'll take it out of tonight's fares if that's easier on you.
prompt	M04	oblique verb	lean_on	lean_on	1	1	2118	Whatever you've been saying about me in the back of that cab, it stops now, or you'll not be driving anything.
prompt	M04	oblique verb	leave	leave	1	1	1816	Right, I'm getting out of this rain. Mind how you go.
prompt	M04	novel	novel	novel/cash/standing_up	1	1	2111	Give us your keys, I'll swap that wiper blade for you now.
prompt	M05	talk	speech	speech	1	1	2546	Evening, Sam. You're out late.
prompt	M05	talk	speech	speech	1	1	1537	Quiet street tonight. Where's everyone got to?
