mode	moment	kind	want	got	right	valid	ms	text
prompt	M01	talk	speech	speech	1	1	4876	Morning. You look like you slept in that chair.
prompt	M01	talk	speech	REJECTED:unparseable	1	0	3865	Was Mickey always in this early, or is it just you?
prompt	M01	talk	speech	speech	1	1	3801	that radio's been hissing all night, has Lena had a look at it
prompt	M01	talk	speech	REJECTED:unparseable	1	0	3847	Cold enough in here to hang meat.
prompt	M01	verb's words, not the verb	speech	REJECTED:unparseable	1	0	3834	What sort of cut did Mickey used to give you lot, out of interest?
prompt	M01	oblique verb	set_cut(generous)	REJECTED:unparseable	0	0	3840	You've carried this place since Mickey went. From Friday your envelope gets fatter.
prompt	M01	oblique verb	leave	REJECTED:unparseable	0	0	3823	Right, that's me. Hold the fort.
prompt	M01	plain verb	set_cut(fair)	set_cut(fair)	1	1	3831	I'm setting your cut to fair, Rocco, same as the rest of the crew.
prompt	M01	argument	set_cut(skim)	REJECTED:unparseable	0	0	3881	Office takes a bit extra off the top of yours from now on. Quietly, mind. It won't show on the sheet.
prompt	M01	novel	novel	REJECTED:unparseable	0	0	3840	Give me the keys, I'll do the early airport run myself.
prompt	M02	talk	speech	REJECTED:unparseable	1	0	5163	Smells like the whole North Sea in here. Busy morning?
prompt	M02	talk	speech	REJECTED:unparseable	1	0	3797	How long's your family had this pitch, then?
prompt	M02	talk	speech	REJECTED:unparseable	1	0	3809	You know Rocco? Drives for us at Mickey's.
prompt	M02	talk	speech	REJECTED:unparseable	1	0	3818	gulls are bold today, one nearly had my hat
prompt	M02	verb's words, not the verb	speech	REJECTED:unparseable	1	0	3814	Honestly, I've never paid anybody off in my life. Never needed to.
prompt	M02	plain verb	pay_off	REJECTED:unparseable	0	0	3835	I'll give you ninety quid to stop telling people I torched that van.
prompt	M02	oblique verb	lean_on	REJECTED:unparseable	0	0	3838	Lovely steady hands for gutting. You'd want to keep them that way, so the van story stops with you.
prompt	M02	oblique verb	plant_doubt	REJECTED:unparseable	0	0	3825	Funny, I heard the van's owner lit it himself for the insurance. Mention that to your customers, eh?
prompt	M02	oblique verb	pay_off	REJECTED:unparseable	0	0	3816	Couple of folded notes under your scales there. Let's say you've gone off the subject of that van.
prompt	M02	novel	novel	REJECTED:unparseable	0	0	3826	Here, give us that crate, I'll carry it out to your van for you.
prompt	M03	talk	speech	speech	1	1	5128	How long did you work for Mickey, all told?
prompt	M03	talk	speech	REJECTED:unparseable	1	0	3856	Your handwriting's neater than his, I'll give you that.
prompt	M03	talk	speech	REJECTED:unparseable	1	0	3815	morning lena. kettle's not on then
prompt	M03	talk	speech	speech	1	1	3524	Did Mickey do all this bookkeeping by hand, every night?
prompt	M03	verb's words, not the verb	speech	REJECTED:unparseable	1	0	3799	Is it true Mickey used to write off debts for anyone with a sob story?
prompt	M03	plain verb	collect_debt	collect_debt	1	1	2478	You owe the book sixty quid, Lena. I need it back today.
prompt	M03	oblique verb	collect_debt	REJECTED:unparseable	0	0	3818	Sixty against your name in here. I'd like it squared before the weekend, if you can.
prompt	M03	oblique verb	forgive_debt	REJECTED:unparseable	0	0	3864	Tear out your page. Mickey would've wanted it, and so do I.
prompt	M03	oblique verb	forgive_debt	forgive_debt	1	1	3660	That sixty you owe? Gone. You've earned it ten times over.
prompt	M03	novel	novel	REJECTED:unparseable	0	0	3813	Pass me the ledger, I'm locking it in the safe tonight.
prompt	M04	talk	speech	REJECTED:unparseable	1	0	5067	Is it always this dead on a wet Tuesday?
prompt	M04	talk	speech	speech	1	1	2964	That nearside wiper's going to give up any minute.
prompt	M04	talk	speech	REJECTED:unparseable	1	0	3797	how long you been driving for Mickey's
prompt	M04	talk	speech	speech	1	1	3237	Rocco reckons you know every back street in the Hook.
prompt	M04	verb's words, not the verb	speech	REJECTED:unparseable	1	0	3868	Mickey never walked away from a driver in trouble, did he?
prompt	M04	plain verb	collect_debt	REJECTED:unparseable	0	0	3853	You owe the book forty-five quid. Pay up.
prompt	M04	oblique verb	collect_debt	REJECTED:unparseable	0	0	3914	Forty-five, wasn't it? I'll take it out of tonight's fares if that's easier on you.
prompt	M04	oblique verb	lean_on	REJECTED:unparseable	0	0	3907	Whatever you've been saying about me in the back of that cab, it stops now, or you'll not be driving anything.
prompt	M04	oblique verb	leave	REJECTED:unparseable	0	0	3819	Right, I'm getting out of this rain. Mind how you go.
prompt	M04	novel	novel	REJECTED:unparseable	0	0	3812	Give us your keys, I'll swap that wiper blade for you now.
prompt	M05	talk	speech	REJECTED:unparseable	1	0	5144	Evening, Sam. You're out late.
prompt	M05	talk	speech	REJECTED:unparseable	1	0	3811	Quiet street tonight. Where's everyone got to?
prompt	M05	talk	speech	REJECTED:unparseable	1	0	3803	you still living above the chemist?
prompt	M05	talk	speech	REJECTED:unparseable	1	0	3812	Rocco says you used to knock about with the Parade lot, back in the day.
prompt	M05	verb's words, not the verb	speech	REJECTED:unparseable	1	0	3819	Somebody told me you used to inform for the Old Bill. That true?
prompt	M05	plain verb	ask_about(the break-in)	REJECTED:unparseable	0	0	3807	What did you see the night of the break-in, Sam?
prompt	M05	oblique verb	ask_about(the van)	REJECTED:unparseable	0	0	3819	That van that went up. You were out here that night, so what did your eyes tell you?
prompt	M05	oblique verb	inform(Danny Ro)	REJECTED:unparseable	0	0	3818	Time somebody put Danny Ro's name in front of the law. I'll see to it tonight.
prompt	M05	argument	inform(Sera Kest)	REJECTED:unparseable	0	0	3805	Not Danny. It's Sera Kest the coppers need to hear about, and they'll hear it from me.
prompt	M05	novel	novel	speech	0	1	3180	Here, have my scarf, you're shivering.
prompt	M06	talk	speech	REJECTED:unparseable	1	0	4916	Morning, Ada. Mind if I sit?
prompt	M06	talk	speech	REJECTED:unparseable	1	0	3817	Is the tea always this strong in here?
prompt	M06	talk	speech	REJECTED:unparseable	1	0	3818	How's Noor getting on at the paper?
prompt	M06	talk	speech	REJECTED:unparseable	1	0	3826	You've known this street longer than most. Has it changed much?
prompt	M06	talk	speech	REJECTED:unparseable	1	0	3815	sam says you knew mickey before any of us
prompt	M06	talk	speech	REJECTED:unparseable	1	0	3824	Rain's meant to clear by dinner, apparently.
prompt	M06	talk	speech	REJECTED:unparseable	1	0	3812	What did you do before all this, Ada?
prompt	M06	talk	speech	speech	1	1	3453	I still can't find my way round the Hook without a map.
prompt	M06	novel	novel	REJECTED:unparseable	0	0	3829	Let me settle your bill today, and Sam's while I'm at it.
prompt	M06	novel	novel	REJECTED:unparseable	0	0	3834	Hold still, I'll wedge a matchbox under that wobbly table leg.
prompt	M07	talk	speech	speech	1	1	3975	Busy morning in the harbour office?
prompt	M07	talk	speech	REJECTED:unparseable	1	0	3812	Is it always this cold in here, or is the heating off?
prompt	M07	talk	speech	speech	1	1	3766	What time does the Rotterdam boat usually come in?
prompt	M07	talk	speech	speech	1	1	3351	you've got a good view of the water from that counter
prompt	M07	verb's words, not the verb	speech	REJECTED:unparseable	1	0	3811	Do folk round here get paid off often? I'm still learning how things work.
prompt	M07	plain verb	pay_off	REJECTED:unparseable	0	0	3808	I'll pay you a hundred and fifty quid to stop talking about me. Deal?
prompt	M07	oblique verb	use_hook	REJECTED:unparseable	0	0	3814	Funny how nobody's ever checked your overtime sheets against the gate log. I have.
prompt	M07	oblique verb	pay_off	REJECTED:unparseable	0	0	3817	Envelope under this timetable's yours. Find something else to talk about.
prompt	M07	oblique verb	leave	REJECTED:unparseable	0	0	3808	Right, that's me. I'll let you get back to your forms.
prompt	M07	novel	novel	REJECTED:unparseable	0	0	3808	Shift over, I'll help you carry those files through to the back.
prompt	M08	talk	speech	REJECTED:unparseable	1	0	5140	Bit parky out here, isn't it?
prompt	M08	talk	speech	REJECTED:unparseable	1	0	3810	How's your back holding up these days?
prompt	M08	talk	speech	REJECTED:unparseable	1	0	3822	Who left this skip full of old tyres, any idea?
prompt	M08	talk	speech	REJECTED:unparseable	1	0	3814	lena says you've been doing doubles all week
prompt	M08	verb's words, not the verb	speech	REJECTED:unparseable	1	0	3830	Everybody's got a theory about the fire. I'm sick of hearing them.
prompt	M08	plain verb	ask_about(the fire)	REJECTED:unparseable	0	0	3809	What did you see at the fire, Rocco?
prompt	M08	oblique verb	ask_about(the warehouse)	REJECTED:unparseable	0	0	3825	You were round the warehouse Thursday night. Tell me what you clocked.
prompt	M08	oblique verb	set_cut(fair)	REJECTED:unparseable	0	0	3828	Your share's been all over the place. From now on you get what's fair, same as the others.
prompt	M08	argument	set_cut(skim)	REJECTED:unparseable	0	0	3848	The office is skimming yours from now on, Rocco. Take it up with me if you don't like it.
prompt	M08	novel	novel	REJECTED:unparseable	0	0	3834	Hold the torch while I get this padlock off the gate.
prompt	M09	talk	speech	REJECTED:unparseable	1	0	5067	Grey one this morning, Father.
prompt	M09	talk	speech	speech	1	1	3506	Is the roof still letting the rain in?
prompt	M09	talk	speech	REJECTED:unparseable	1	0	3821	June says you've been here thirty years. That right?
prompt	M09	talk	speech	REJECTED:unparseable	1	0	3797	do you get many in on a weekday
prompt	M09	verb's words, not the verb	speech	REJECTED:unparseable	1	0	3818	I didn't see much at the funeral myself. I was stood right at the back.
prompt	M09	plain verb	ask_about(the break-in)	REJECTED:unparseable	0	0	3820	What did you see at the break-in, Father?
prompt	M09	oblique verb	ask_about(the funeral)	REJECTED:unparseable	0	0	3820	You were at the front for Mickey's service. Notice anyone there who shouldn't have been?
