mode	moment	kind	want	got	right	valid	ms	text
prompt	M01	talk	speech	speech	1	1	2786	Morning. You look like you slept in that chair.
prompt	M01	talk	speech	speech	1	1	1329	Was Mickey always in this early, or is it just you?
prompt	M01	talk	speech	speech	1	1	2018	that radio's been hissing all night, has Lena had a look at it
prompt	M01	talk	speech	speech	1	1	2880	Cold enough in here to hang meat.
prompt	M01	verb's words, not the verb	speech	REJECTED:unparseable	1	0	3800	What sort of cut did Mickey used to give you lot, out of interest?
prompt	M01	oblique verb	set_cut(generous)	speech	0	1	3705	You've carried this place since Mickey went. From Friday your envelope gets fatter.
prompt	M01	oblique verb	leave	leave	1	1	2862	Right, that's me. Hold the fort.
prompt	M01	plain verb	set_cut(fair)	set_cut(fair)	1	1	3161	I'm setting your cut to fair, Rocco, same as the rest of the crew.
prompt	M01	argument	set_cut(skim)	REJECTED:unparseable	0	0	3798	Office takes a bit extra off the top of yours from now on. Quietly, mind. It won't show on the sheet.
prompt	M01	novel	novel	REJECTED:unparseable	0	0	3784	Give me the keys, I'll do the early airport run myself.
prompt	M02	talk	speech	speech	1	1	2784	Smells like the whole North Sea in here. Busy morning?
prompt	M02	talk	speech	speech	1	1	2319	How long's your family had this pitch, then?
prompt	M02	talk	speech	speech	1	1	1790	You know Rocco? Drives for us at Mickey's.
prompt	M02	talk	speech	speech	1	1	1718	gulls are bold today, one nearly had my hat
prompt	M02	verb's words, not the verb	speech	speech	1	1	2724	Honestly, I've never paid anybody off in my life. Never needed to.
prompt	M02	plain verb	pay_off	pay_off	1	1	3689	I'll give you ninety quid to stop telling people I torched that van.
prompt	M02	oblique verb	lean_on	REJECTED:unparseable	0	0	3823	Lovely steady hands for gutting. You'd want to keep them that way, so the van story stops with you.
prompt	M02	oblique verb	plant_doubt	plant_doubt	1	1	3364	Funny, I heard the van's owner lit it himself for the insurance. Mention that to your customers, eh?
prompt	M02	oblique verb	pay_off	speech	0	1	3074	Couple of folded notes under your scales there. Let's say you've gone off the subject of that van.
prompt	M02	novel	novel	speech	0	1	3274	Here, give us that crate, I'll carry it out to your van for you.
prompt	M03	talk	speech	speech	1	1	2736	How long did you work for Mickey, all told?
prompt	M03	talk	speech	speech	1	1	3576	Your handwriting's neater than his, I'll give you that.
prompt	M03	talk	speech	speech	1	1	1781	morning lena. kettle's not on then
prompt	M03	talk	speech	speech	1	1	2169	Did Mickey do all this bookkeeping by hand, every night?
prompt	M03	verb's words, not the verb	speech	speech	1	1	2304	Is it true Mickey used to write off debts for anyone with a sob story?
prompt	M03	plain verb	collect_debt	REJECTED:unparseable	0	0	3830	You owe the book sixty quid, Lena. I need it back today.
