mode	moment	kind	want	got	right	valid	ms	text
prompt	M01	talk	speech	speech	1	1	1425	Morning. You look like you slept in that chair.
prompt	M01	talk	speech	speech	1	1	1151	Was Mickey always in this early, or is it just you?
prompt	M01	talk	speech	speech	1	1	1353	that radio's been hissing all night, has Lena had a look at it
prompt	M01	talk	speech	novel/heat/suspicion_up	0	1	1508	Cold enough in here to hang meat.
prompt	M01	verb's words, not the verb	speech	set_cut(fair)	0	1	1469	What sort of cut did Mickey used to give you lot, out of interest?
prompt	M01	oblique verb	set_cut(generous)	set_cut(generous)	1	1	1493	You've carried this place since Mickey went. From Friday your envelope gets fatter.
prompt	M01	oblique verb	leave	leave	1	1	1452	Right, that's me. Hold the fort.
prompt	M01	plain verb	set_cut(fair)	set_cut(fair)	1	1	1582	I'm setting your cut to fair, Rocco, same as the rest of the crew.
prompt	M01	argument	set_cut(skim)	set_cut(skim)	1	1	1645	Office takes a bit extra off the top of yours from now on. Quietly, mind. It won't show on the sheet.
prompt	M01	novel	novel	novel/cash/standing_up	1	1	1688	Give me the keys, I'll do the early airport run myself.
prompt	M02	talk	speech	speech	1	1	1312	Smells like the whole North Sea in here. Busy morning?
prompt	M02	talk	speech	speech	1	1	1120	How long's your family had this pitch, then?
prompt	M02	talk	speech	speech	1	1	1150	You know Rocco? Drives for us at Mickey's.
prompt	M02	talk	speech	speech	1	1	1146	gulls are bold today, one nearly had my hat
prompt	M02	verb's words, not the verb	speech	speech	1	1	1171	Honestly, I've never paid anybody off in my life. Never needed to.
prompt	M02	plain verb	pay_off	pay_off	1	1	1845	I'll give you ninety quid to stop telling people I torched that van.
prompt	M02	oblique verb	lean_on	lean_on	1	1	1789	Lovely steady hands for gutting. You'd want to keep them that way, so the van story stops with you.
prompt	M02	oblique verb	plant_doubt	plant_doubt	1	1	1817	Funny, I heard the van's owner lit it himself for the insurance. Mention that to your customers, eh?
