rocco	Evening. What is this place, exactly?	This is Mickey's minicab office, friend. Been the rank here twenty years, watching the door and the yard gate behind it. Mickey's gone three weeks now, but the work's the same — stand here, keep an eye on things, make sure the right people come and go.
rocco	Fancy a drink after you close up?	Can't close up, boss. This isn't the sort of place that closes. Someone's got to be here, watching the rank and the gate. That's the work.  But I take a tea most afternoons around four, if you want to sit for a bit. Or there's the phone box on the corner if you want to sort something out proper.
rocco	What have you heard about me?	Haven't heard much of anything, boss. You only just walked up. I see who comes past the rank, who sits in the cars too long, what the street's doing — but I don't know your business yet.   What should I know?
lena	Evening. What is this place, exactly?	Minicab office. Been one thirty-one years. Phones there, radio there, and a chair that's mine unless you've got a problem with that.
lena	Fancy a drink after you close up?	That crate by the yard door's been sat there since Tuesday. You want to buy me a drink, buy me one when it's moved.
lena	What have you heard about me?	Heard you're Mickey's blood. Heard you turned up three weeks after he went in the ground, not before. That's all I've heard. Rest I'll work out for myself.
sam	Evening. What is this place, exactly?	So listen, you're outside Mickey's. Was the minicab office — best dispatcher in the Hook, three weeks gone now. Place is still here though, still got the phone, still got people coming by out of habit, you know? I'm usually round about, so you want anything moved or found out or just need to know who's talking to who, I'm your man.
sam	Fancy a drink after you close up?	So listen, I'm not closing up anything — I don't work here, I just work the street. But yeah, I could do a drink. Where you thinking? The Anchor's warm enough this time of day, or if you want somewhere you won't get bothered we could go down to the Feathers, but that's further and I've got to be back on Quay Street by half six, someone's expecting a message.
sam	What have you heard about me?	Nothing yet, mate. You only just asked me what this place was. I hear everything eventually — that's the job — but you're still fresh. Give it a day or two, someone'll mention you to someone else, and then I'll know what you had for breakfast and who you owe money to.
costUsd=0.0299
