mode	moment	kind	want	got	right	valid	ms	text
prompt	M01	talk	speech	speech	1	1	1752	Morning. You look like you slept in that chair.
prompt	M01	talk	speech	speech	1	1	473	Was Mickey always in this early, or is it just you?
prompt	M01	talk	speech	speech	1	1	484	that radio's been hissing all night, has Lena had a look at it
prompt	M01	talk	speech	speech	1	1	455	Cold enough in here to hang meat.
prompt	M01	verb's words, not the verb	speech	speech	1	1	495	What sort of cut did Mickey used to give you lot, out of interest?
prompt	M01	oblique verb	set_cut(generous)	set_cut(generous)	1	1	1060	You've carried this place since Mickey went. From Friday your envelope gets fatter.
prompt	M01	oblique verb	leave	speech	0	1	447	Right, that's me. Hold the fort.
prompt	M01	plain verb	set_cut(fair)	set_cut(fair)	1	1	931	I'm setting your cut to fair, Rocco, same as the rest of the crew.
prompt	M01	argument	set_cut(skim)	set_cut(skim)	1	1	1166	Office takes a bit extra off the top of yours from now on. Quietly, mind. It won't show on the sheet.
prompt	M01	novel	novel	novel/hour/nothing	1	1	815	Give me the keys, I'll do the early airport run myself.
prompt	M02	talk	speech	speech	1	1	1750	Smells like the whole North Sea in here. Busy morning?
prompt	M02	talk	speech	speech	1	1	469	How long's your family had this pitch, then?
prompt	M02	talk	speech	speech	1	1	478	You know Rocco? Drives for us at Mickey's.
prompt	M02	talk	speech	speech	1	1	464	gulls are bold today, one nearly had my hat
prompt	M02	verb's words, not the verb	speech	speech	1	1	469	Honestly, I've never paid anybody off in my life. Never needed to.
prompt	M02	plain verb	pay_off	pay_off	1	1	1008	I'll give you ninety quid to stop telling people I torched that van.
prompt	M02	oblique verb	lean_on	lean_on	1	1	1065	Lovely steady hands for gutting. You'd want to keep them that way, so the van story stops with you.
prompt	M02	oblique verb	plant_doubt	novel/dirty_cash/suspicion_down	0	1	955	Funny, I heard the van's owner lit it himself for the insurance. Mention that to your customers, eh?
prompt	M02	oblique verb	pay_off	speech	0	1	520	Couple of folded notes under your scales there. Let's say you've gone off the subject of that van.
prompt	M02	novel	novel	speech	0	1	473	Here, give us that crate, I'll carry it out to your van for you.
prompt	M03	talk	speech	speech	1	1	1830	How long did you work for Mickey, all told?
prompt	M03	talk	speech	speech	1	1	497	Your handwriting's neater than his, I'll give you that.
prompt	M03	talk	speech	speech	1	1	484	morning lena. kettle's not on then
prompt	M03	talk	speech	speech	1	1	488	Did Mickey do all this bookkeeping by hand, every night?
prompt	M03	verb's words, not the verb	speech	speech	1	1	500	Is it true Mickey used to write off debts for anyone with a sob story?
prompt	M03	plain verb	collect_debt	collect_debt	1	1	1189	You owe the book sixty quid, Lena. I need it back today.
prompt	M03	oblique verb	collect_debt	collect_debt	1	1	1125	Sixty against your name in here. I'd like it squared before the weekend, if you can.
prompt	M03	oblique verb	forgive_debt	novel/dirty_cash/suspicion_up	0	1	956	Tear out your page. Mickey would've wanted it, and so do I.
prompt	M03	oblique verb	forgive_debt	forgive_debt	1	1	1106	That sixty you owe? Gone. You've earned it ten times over.
prompt	M03	novel	novel	novel/hour/suspicion_up	1	1	1051	Pass me the ledger, I'm locking it in the safe tonight.
prompt	M04	talk	speech	speech	1	1	1789	Is it always this dead on a wet Tuesday?
prompt	M04	talk	speech	speech	1	1	529	That nearside wiper's going to give up any minute.
prompt	M04	talk	speech	speech	1	1	512	how long you been driving for Mickey's
prompt	M04	talk	speech	speech	1	1	528	Rocco reckons you know every back street in the Hook.
prompt	M04	verb's words, not the verb	speech	speech	1	1	544	Mickey never walked away from a driver in trouble, did he?
prompt	M04	plain verb	collect_debt	collect_debt	1	1	1210	You owe the book forty-five quid. Pay up.
prompt	M04	oblique verb	collect_debt	collect_debt	1	1	1210	Forty-five, wasn't it? I'll take it out of tonight's fares if that's easier on you.
prompt	M04	oblique verb	lean_on	lean_on	1	1	1213	Whatever you've been saying about me in the back of that cab, it stops now, or you'll not be driving anything.
prompt	M04	oblique verb	leave	speech	0	1	573	Right, I'm getting out of this rain. Mind how you go.
prompt	M04	novel	novel	novel/dirty_cash/standing_down	1	1	983	Give us your keys, I'll swap that wiper blade for you now.
prompt	M05	talk	speech	speech	1	1	1766	Evening, Sam. You're out late.
prompt	M05	talk	speech	speech	1	1	523	Quiet street tonight. Where's everyone got to?
prompt	M05	talk	speech	speech	1	1	532	you still living above the chemist?
prompt	M05	talk	speech	speech	1	1	473	Rocco says you used to knock about with the Parade lot, back in the day.
prompt	M05	verb's words, not the verb	speech	speech	1	1	486	Somebody told me you used to inform for the Old Bill. That true?
prompt	M05	plain verb	ask_about(the break-in)	ask_about(the break-in)	1	1	710	What did you see the night of the break-in, Sam?
prompt	M05	oblique verb	ask_about(the van)	ask_about(the van)	1	1	998	That van that went up. You were out here that night, so what did your eyes tell you?
prompt	M05	oblique verb	inform(Danny Ro)	inform(Danny Ro)	1	1	1164	Time somebody put Danny Ro's name in front of the law. I'll see to it tonight.
prompt	M05	argument	inform(Sera Kest)	inform(Sera Kest)	1	1	1169	Not Danny. It's Sera Kest the coppers need to hear about, and they'll hear it from me.
prompt	M05	novel	novel	speech	0	1	463	Here, have my scarf, you're shivering.
prompt	M06	talk	speech	speech	1	1	1972	Morning, Ada. Mind if I sit?
prompt	M06	talk	speech	speech	1	1	841	Is the tea always this strong in here?
prompt	M06	talk	speech	speech	1	1	465	How's Noor getting on at the paper?
prompt	M06	talk	speech	speech	1	1	872	You've known this street longer than most. Has it changed much?
prompt	M06	talk	speech	speech	1	1	891	sam says you knew mickey before any of us
prompt	M06	talk	speech	speech	1	1	818	Rain's meant to clear by dinner, apparently.
prompt	M06	talk	speech	speech	1	1	848	What did you do before all this, Ada?
prompt	M06	talk	speech	speech	1	1	859	I still can't find my way round the Hook without a map.
prompt	M06	novel	novel	REJECTED:verb not offered	0	0	1042	Let me settle your bill today, and Sam's while I'm at it.
prompt	M06	novel	novel	novel/standing/nothing	1	1	925	Hold still, I'll wedge a matchbox under that wobbly table leg.
prompt	M07	talk	speech	speech	1	1	1760	Busy morning in the harbour office?
prompt	M07	talk	speech	speech	1	1	511	Is it always this cold in here, or is the heating off?
prompt	M07	talk	speech	speech	1	1	471	What time does the Rotterdam boat usually come in?
prompt	M07	talk	speech	speech	1	1	486	you've got a good view of the water from that counter
prompt	M07	verb's words, not the verb	speech	speech	1	1	545	Do folk round here get paid off often? I'm still learning how things work.
prompt	M07	plain verb	pay_off	pay_off	1	1	1058	I'll pay you a hundred and fifty quid to stop talking about me. Deal?
prompt	M07	oblique verb	use_hook	novel/dirty_cash/suspicion_up	0	1	962	Funny how nobody's ever checked your overtime sheets against the gate log. I have.
prompt	M07	oblique verb	pay_off	speech	0	1	497	Envelope under this timetable's yours. Find something else to talk about.
prompt	M07	oblique verb	leave	speech	0	1	499	Right, that's me. I'll let you get back to your forms.
prompt	M07	novel	novel	speech	0	1	486	Shift over, I'll help you carry those files through to the back.
prompt	M08	talk	speech	speech	1	1	1742	Bit parky out here, isn't it?
prompt	M08	talk	speech	speech	1	1	455	How's your back holding up these days?
prompt	M08	talk	speech	speech	1	1	473	Who left this skip full of old tyres, any idea?
prompt	M08	talk	speech	speech	1	1	476	lena says you've been doing doubles all week
prompt	M08	verb's words, not the verb	speech	speech	1	1	512	Everybody's got a theory about the fire. I'm sick of hearing them.
prompt	M08	plain verb	ask_about(the fire)	ask_about(the fire)	1	1	953	What did you see at the fire, Rocco?
