mode	moment	kind	want	got	right	valid	ms	text
prompt	M01	talk	speech	speech	1	1	1701	Morning. You look like you slept in that chair.
prompt	M01	talk	speech	speech	1	1	314	Was Mickey always in this early, or is it just you?
prompt	M01	talk	speech	speech	1	1	328	that radio's been hissing all night, has Lena had a look at it
prompt	M01	talk	speech	speech	1	1	306	Cold enough in here to hang meat.
prompt	M01	verb's words, not the verb	speech	speech	1	1	653	What sort of cut did Mickey used to give you lot, out of interest?
prompt	M01	oblique verb	set_cut(generous)	speech	0	1	328	You've carried this place since Mickey went. From Friday your envelope gets fatter.
prompt	M01	oblique verb	leave	speech	0	1	296	Right, that's me. Hold the fort.
prompt	M01	plain verb	set_cut(fair)	set_cut(fair)	1	1	533	I'm setting your cut to fair, Rocco, same as the rest of the crew.
prompt	M01	argument	set_cut(skim)	REJECTED:check or effect not in vocabulary	0	0	703	Office takes a bit extra off the top of yours from now on. Quietly, mind. It won't show on the sheet.
prompt	M01	novel	novel	speech	0	1	298	Give me the keys, I'll do the early airport run myself.
prompt	M02	talk	speech	speech	1	1	1796	Smells like the whole North Sea in here. Busy morning?
prompt	M02	talk	speech	speech	1	1	295	How long's your family had this pitch, then?
prompt	M02	talk	speech	speech	1	1	325	You know Rocco? Drives for us at Mickey's.
prompt	M02	talk	speech	speech	1	1	310	gulls are bold today, one nearly had my hat
prompt	M02	verb's words, not the verb	speech	speech	1	1	319	Honestly, I've never paid anybody off in my life. Never needed to.
prompt	M02	plain verb	pay_off	pay_off	1	1	771	I'll give you ninety quid to stop telling people I torched that van.
prompt	M02	oblique verb	lean_on	speech	0	1	365	Lovely steady hands for gutting. You'd want to keep them that way, so the van story stops with you.
prompt	M02	oblique verb	plant_doubt	plant_doubt	1	1	759	Funny, I heard the van's owner lit it himself for the insurance. Mention that to your customers, eh?
prompt	M02	oblique verb	pay_off	speech	0	1	320	Couple of folded notes under your scales there. Let's say you've gone off the subject of that van.
prompt	M02	novel	novel	speech	0	1	318	Here, give us that crate, I'll carry it out to your van for you.
prompt	M03	talk	speech	speech	1	1	1659	How long did you work for Mickey, all told?
prompt	M03	talk	speech	speech	1	1	296	Your handwriting's neater than his, I'll give you that.
prompt	M03	talk	speech	speech	1	1	320	morning lena. kettle's not on then
prompt	M03	talk	speech	speech	1	1	308	Did Mickey do all this bookkeeping by hand, every night?
prompt	M03	verb's words, not the verb	speech	speech	1	1	329	Is it true Mickey used to write off debts for anyone with a sob story?
prompt	M03	plain verb	collect_debt	collect_debt	1	1	455	You owe the book sixty quid, Lena. I need it back today.
prompt	M03	oblique verb	collect_debt	collect_debt	1	1	705	Sixty against your name in here. I'd like it squared before the weekend, if you can.
prompt	M03	oblique verb	forgive_debt	speech	0	1	339	Tear out your page. Mickey would've wanted it, and so do I.
prompt	M03	oblique verb	forgive_debt	forgive_debt	1	1	799	That sixty you owe? Gone. You've earned it ten times over.
prompt	M03	novel	novel	speech	0	1	298	Pass me the ledger, I'm locking it in the safe tonight.
prompt	M04	talk	speech	speech	1	1	1627	Is it always this dead on a wet Tuesday?
prompt	M04	talk	speech	speech	1	1	308	That nearside wiper's going to give up any minute.
prompt	M04	talk	speech	speech	1	1	316	how long you been driving for Mickey's
prompt	M04	talk	speech	speech	1	1	333	Rocco reckons you know every back street in the Hook.
prompt	M04	verb's words, not the verb	speech	speech	1	1	333	Mickey never walked away from a driver in trouble, did he?
prompt	M04	plain verb	collect_debt	collect_debt	1	1	725	You owe the book forty-five quid. Pay up.
prompt	M04	oblique verb	collect_debt	collect_debt	1	1	776	Forty-five, wasn't it? I'll take it out of tonight's fares if that's easier on you.
prompt	M04	oblique verb	lean_on	speech	0	1	387	Whatever you've been saying about me in the back of that cab, it stops now, or you'll not be driving anything.
prompt	M04	oblique verb	leave	speech	0	1	311	Right, I'm getting out of this rain. Mind how you go.
prompt	M04	novel	novel	speech	0	1	343	Give us your keys, I'll swap that wiper blade for you now.
prompt	M05	talk	speech	speech	1	1	2154	Evening, Sam. You're out late.
prompt	M05	talk	speech	speech	1	1	293	Quiet street tonight. Where's everyone got to?
prompt	M05	talk	speech	speech	1	1	639	you still living above the chemist?
prompt	M05	talk	speech	speech	1	1	342	Rocco says you used to knock about with the Parade lot, back in the day.
prompt	M05	verb's words, not the verb	speech	speech	1	1	629	Somebody told me you used to inform for the Old Bill. That true?
prompt	M05	plain verb	ask_about(the break-in)	ask_about(the break-in)	1	1	536	What did you see the night of the break-in, Sam?
prompt	M05	oblique verb	ask_about(the van)	ask_about(the van)	1	1	514	That van that went up. You were out here that night, so what did your eyes tell you?
prompt	M05	oblique verb	inform(Danny Ro)	inform(Danny Ro)	1	1	803	Time somebody put Danny Ro's name in front of the law. I'll see to it tonight.
prompt	M05	argument	inform(Sera Kest)	inform(Sera Kest)	1	1	811	Not Danny. It's Sera Kest the coppers need to hear about, and they'll hear it from me.
prompt	M05	novel	novel	speech	0	1	304	Here, have my scarf, you're shivering.
prompt	M06	talk	speech	speech	1	1	1423	Morning, Ada. Mind if I sit?
prompt	M06	talk	speech	speech	1	1	230	Is the tea always this strong in here?
prompt	M06	talk	speech	speech	1	1	300	How's Noor getting on at the paper?
prompt	M06	talk	speech	speech	1	1	292	You've known this street longer than most. Has it changed much?
prompt	M06	talk	speech	speech	1	1	339	sam says you knew mickey before any of us
prompt	M06	talk	speech	speech	1	1	289	Rain's meant to clear by dinner, apparently.
