rocco	Evening. What is this place, exactly?	This? This is Mickey's. Minicab office. I stand out here and watch the rank, watch who comes and goes through the yard gate. Done it twenty years, even after Mickey died three weeks back. Office still runs, somebody's keeping it going, but mostly I'm out here on the street.
rocco	Fancy a drink after you close up?	Nah, not for me, friend. But I'll have a tea if you're offering one. Besides, I don't close up — I'm out here till the light goes, watching the rank. Street doesn't stop just because the day does.
rocco	What have you heard about me?	Heard about you? Nothing yet, boss. You only just turned up. But I'll know soon enough — I see who comes and goes, I remember faces. Street teaches you that if you stand still long enough.
lena	Evening. What is this place, exactly?	Mickey's. Minicab office, thirty-one years now, most of them mine keeping the books. Quay Street, fish market two doors up, Rita's beyond that. You'd know that if it was yours before three weeks ago.
lena	Fancy a drink after you close up?	Not one for that. I'll take a smoke on the step if you're offering, or a tea if you're not. Either way we can talk about the crate that's still sitting by the yard door.
lena	What have you heard about me?	Not much yet. That's the trouble with new management, you're all a blank page till you're not. I know you asked about this place before you knew where the yard door was. I know Rocco's been watching you sideways since you walked in. Rest I'll find out the way I find out everything — watching what you do with what's in front of you.
sam	Evening. What is this place, exactly?	So listen, this is Mickey's. Was Mickey's, I should say — he died three weeks back. Minicab office, but nobody's really running it properly now, just the phone sits there and people still ring thinking he'll answer.
sam	Fancy a drink after you close up?	Tea, maybe. But I'm not really closing up — I just move through here, you know? This isn't my place to close.
sam	What have you heard about me?	So listen, I haven't heard anything yet because you only just turned up. But give it time — you spend five minutes on this street and somebody's already working out who you know and what you owe them.
costUsd=0.0328
